Week Number,Week Commencing,Week Type
2,2017-01-02,EVEN
3,2017-01-09,ODD
4,2017-01-16,EVEN
5,2017-01-23,ODD
6,2017-01-30,EVEN
7,2017-02-06,ODD
8,2017-02-13,EVEN
9,2017-02-20,ODD
10,2017-02-27,EVEN
11,2017-03-06,ODD
12,2017-03-13,EVEN
13,2017-03-20,ODD
14,2017-03-27,EVEN
15,2017-04-03,ODD
16,2017-04-10,EVEN
17,2017-04-17,ODD
18,2017-04-24,EVEN
19,2017-05-01,ODD
20,2017-05-08,EVEN
21,2017-05-15,ODD
22,2017-05-22,EVEN
23,2017-05-29,ODD
24,2017-06-05,EVEN
25,2017-06-12,ODD
26,2017-06-19,EVEN
27,2017-06-26,ODD
28,2017-07-03,EVEN
29,2017-07-10,ODD
30,2017-07-17,EVEN
31,2017-07-24,ODD
32,2017-07-31,EVEN
33,2017-08-07,ODD
34,2017-08-14,EVEN
35,2017-08-21,ODD
36,2017-08-28,EVEN
37,2017-09-04,ODD
38,2017-09-11,EVEN
39,2017-09-18,ODD
40,2017-09-25,EVEN
41,2017-10-02,ODD
42,2017-10-09,EVEN
43,2017-10-16,ODD
44,2017-10-23,EVEN
45,2017-10-30,ODD
46,2017-11-06,EVEN
47,2017-11-13,ODD
48,2017-11-20,EVEN
49,2017-11-27,ODD
50,2017-12-04,EVEN
51,2017-12-11,ODD
52,2017-12-18,EVEN
1,2017-12-25,ODD
2,2018-01-01,EVEN
3,2018-01-08,ODD
4,2018-01-15,EVEN
5,2018-01-22,ODD
6,2018-01-29,EVEN
7,2018-02-05,ODD
8,2018-02-12,EVEN
9,2018-02-19,ODD
10,2018-02-26,EVEN
11,2018-03-05,ODD
12,2018-03-12,EVEN
13,2018-03-19,ODD
14,2018-03-26,EVEN
15,2018-04-02,ODD
16,2018-04-09,EVEN
17,2018-04-16,ODD
18,2018-04-23,EVEN
19,2018-04-30,ODD
20,2018-05-07,EVEN
21,2018-05-14,ODD
22,2018-05-21,EVEN
23,2018-05-28,ODD
24,2018-06-04,EVEN
25,2018-06-11,ODD
26,2018-06-18,EVEN
27,2018-06-25,ODD
28,2018-07-02,EVEN
29,2018-07-09,ODD
30,2018-07-16,EVEN
31,2018-07-23,ODD
32,2018-07-30,EVEN
33,2018-08-06,ODD
34,2018-08-13,EVEN
35,2018-08-20,ODD
36,2018-08-27,EVEN
37,2018-09-03,ODD
38,2018-09-10,EVEN
39,2018-09-17,ODD
40,2018-09-24,EVEN
41,2018-10-01,ODD
42,2018-10-08,EVEN
